year mm dd hh mm ss msec long lat alt
#START
2003 10 26 4 12 0 0 189.72 84.41 490.58
2003 10 26 4 13 0 0 209.51 88.04 489.86
2003 10 26 4 14 0 0 334.05 87.67 489.02
2003 10 26 4 15 0 0 349.40 84.00 488.07
2003 10 26 4 16 0 0 352.84 80.22 487.02
2003 10 26 4 17 0 0 354.24 76.42 485.86
2003 10 26 4 18 0 0 354.92 72.62 484.62
2003 10 26 4 19 0 0 355.28 68.81 483.31
2003 10 26 4 20 0 0 355.46 64.99 481.93
2003 10 26 4 21 0 0 355.53 61.17 480.52
2003 10 26 4 22 0 0 355.53 57.35 479.09
2003 10 26 4 23 0 0 355.49 53.52 477.66
2003 10 26 4 24 0 0 355.41 49.69 476.25
2003 10 26 4 25 0 0 355.30 45.86 474.89
2003 10 26 4 26 0 0 355.18 42.02 473.59
2003 10 26 4 27 0 0 355.04 38.18 472.38
2003 10 26 4 28 0 0 354.89 34.33 471.29
2003 10 26 4 29 0 0 354.74 30.49 470.32
2003 10 26 4 30 0 0 354.57 26.63 469.50
2003 10 26 4 31 0 0 354.40 22.78 468.86
2003 10 26 4 32 0 0 354.23 18.93 468.39
2003 10 26 4 33 0 0 354.05 15.07 468.12
2003 10 26 4 34 0 0 353.87 11.21 468.06
2003 10 26 4 35 0 0 353.69 7.35 468.22
2003 10 26 4 36 0 0 353.50 3.49 468.59
2003 10 26 4 37 0 0 353.32 -0.37 469.19
2003 10 26 4 38 0 0 353.13 -4.22 470.00
2003 10 26 4 39 0 0 352.95 -8.08 471.03
2003 10 26 4 40 0 0 352.77 -11.93 472.26
2003 10 26 4 41 0 0 352.59 -15.79 473.69
2003 10 26 4 42 0 0 352.41 -19.64 475.29
2003 10 26 4 43 0 0 352.24 -23.48 477.06
2003 10 26 4 44 0 0 352.07 -27.33 478.98
2003 10 26 4 45 0 0 351.90 -31.17 481.01
2003 10 26 4 46 0 0 351.74 -35.00 483.15
2003 10 26 4 47 0 0 351.60 -38.83 485.36
2003 10 26 4 48 0 0 351.46 -42.66 487.62
2003 10 26 4 49 0 0 351.34 -46.48 489.90
2003 10 26 4 50 0 0 351.24 -50.29 492.18
2003 10 26 4 51 0 0 351.16 -54.11 494.43
2003 10 26 4 52 0 0 351.12 -57.91 496.63
2003 10 26 4 53 0 0 351.13 -61.72 498.74
2003 10 26 4 54 0 0 351.21 -65.52 500.76
2003 10 26 4 55 0 0 351.41 -69.31 502.65
2003 10 26 4 56 0 0 351.79 -73.10 504.39
2003 10 26 4 57 0 0 352.53 -76.88 505.98
2003 10 26 4 58 0 0 354.05 -80.66 507.39
2003 10 26 4 59 0 0 357.92 -84.41 508.61
2003 10 26 5 0 0 0 17.36 -88.02 509.64
2003 10 26 5 1 0 0 141.76 -87.71 510.46
2003 10 26 5 2 0 0 157.50 -84.07 511.08
2003 10 26 5 3 0 0 161.00 -80.32 511.49
2003 10 26 5 4 0 0 162.41 -76.55 511.70
2003 10 26 5 5 0 0 163.11 -72.77 511.70
2003 10 26 5 6 0 0 163.47 -68.99 511.52
2003 10 26 5 7 0 0 163.65 -65.21 511.16
2003 10 26 5 8 0 0 163.73 -61.42 510.63
2003 10 26 5 9 0 0 163.73 -57.63 509.95
2003 10 26 5 10 0 0 163.69 -53.84 509.13
2003 10 26 5 11 0 0 163.61 -50.05 508.19
2003 10 26 5 12 0 0 163.50 -46.25 507.16
2003 10 26 5 13 0 0 163.38 -42.45 506.05
2003 10 26 5 14 0 0 163.24 -38.64 504.88
2003 10 26 5 15 0 0 163.09 -34.83 503.67
2003 10 26 5 16 0 0 162.94 -31.02 502.45
2003 10 26 5 17 0 0 162.77 -27.21 501.24
2003 10 26 5 18 0 0 162.60 -23.39 500.04
